Motor,Prop,U,W
Scorpion SII-3026-710KV (V2),12x12E,14.8,867.2
Scorpion SII-4020-540KV,12x12E,18.5,878.7
Scorpion SII-4020-540KV,12x12E,22.2,1422.2
Scorpion SII-4020-630KV,12x12E,14.8,784.0
Scorpion SII-4020-630KV,12x12E,18.5,1419.4
Scorpion SII-3026-1190KV (V2),12x6,10.5,893.03
Scorpion SII-3032-690KV (V2),12x6,10.5,186.9
Scorpion SII-3032-690KV (V2),12x6,14,408.94
Scorpion SII-3032-690KV (V2),12x6,17.5,798.35
Scorpion SII-2208-1100KV (V2),12x6E,7.4,76.5
Scorpion SII-2215-900KV (V2),12x6E,7.4,65.2
Scorpion SII-3020-890KV (V2),12x6E,11.1,360.7
Scorpion SII-3026-710KV (V2),12x6E,14.8,540.2
Scorpion SII-3026-710KV (V2),12x6E,18.5,1025.4
Scorpion SII-3026-890KV (V2),12x6E,11.1,568.4
Scorpion SII-4020-630KV,12x6E,18.5,887.9
Scorpion SII-4020-630KV,12x6E,22.2,1565.7
Scorpion SII-3032-690KV (V2),12x8,10.5,228.9
Scorpion SII-3032-690KV (V2),12x8,14,494.2
Scorpion SII-3032-690KV (V2),12x8,17.5,938.53
Scorpion SII-2215-900KV (V2),12x8E,7.4,79.2
Scorpion SII-3020-890KV (V2),12x8E,11.1,444.6
Scorpion SII-3026-710KV (V2),12x8E,14.8,668.4
Scorpion SII-3026-890KV (V2),12x8E,11.1,696.8
Scorpion SII-4020-540KV,12x8E,22.2,1108.2
Scorpion SII-4020-630KV,12x8E,18.5,1096.4
Scorpion SII-4020-630KV,12x8E,22.2,1833.8
Scorpion SII-3032-690KV (V2),13x10,10.5,375.06
Scorpion SII-3032-690KV (V2),13x10,14,835.94
Scorpion SII-2215-900KV (V2),13x10E,7.4,103.8
Scorpion SII-3026-710KV (V2),13x10E,11.1,459.9
Scorpion SII-4020-420KV,13x10E,22.2,845.9
Scorpion SII-4020-540KV,13x10E,18.5,1077.4
Scorpion SII-4020-540KV,13x10E,22.2,1782.1
Scorpion SII-4020-630KV,13x10E,14.8,949.1
Scorpion SII-4020-630KV,13x10E,18.5,1764.2
Scorpion SII-2208-1100KV (V2),13x4E,7.4,72.5
Scorpion SII-2215-900KV (V2),13x4E,7.4,59.7
Scorpion SII-3020-890KV (V2),13x4E,11.1,315.5
Scorpion SII-3026-710KV (V2),13x4E,14.8,460.2
